match_id,p0hand,p1hand,hard,clay,grass,gender,sets_wr,sets_won,match_wr,match_win
20190930-W-Beijing-R64-Bianca_Andreescu-Aliaksandra_Sasnovich,1,1,1,0,0,0,"[0.36, 0.5967741935483871, 0.3829787234042553]","[0, 1, 0]",0.4591194968553459,0
20190930-W-Beijing-R32-Elina_Svitolina-Yafan_Wang,1,1,1,0,0,0,"[0.46808510638297873, 0.4444444444444444]","[0, 0]",0.45652173913043476,0
20190930-W-Beijing-R32-Dayana_Yastremska-Kiki_Bertens,1,1,1,0,0,0,"[0.5268817204301075, 0.5714285714285714]","[1, 1]",0.5436241610738255,1
20190929-W-Beijing-R64-Bernarda_Pera-Ekaterina_Alexandrova,0,1,1,0,0,0,"[0.5, 0.5833333333333334, 0.5303030303030303]","[0, 1, 1]",0.532967032967033,1
20190929-W-Beijing-R64-Anastasija_Sevastova-Elina_Svitolina,1,1,1,0,0,0,"[0.47959183673469385, 0.6511627906976745, 0.5813953488372093]","[0, 1, 1]",0.5434782608695652,1
20190928-W-Wuhan-F-Aryna_Sabalenka-Alison_Riske,1,1,1,0,0,0,"[0.43636363636363634, 0.5441176470588235, 0.3488372093023256]","[0, 1, 0]",0.4578313253012048,0
20190928-W-Beijing-R64-Sofia_Kenin-Garbine_Muguruza,1,1,1,0,0,0,"[0.2972972972972973, 0.5932203389830508, 0.40350877192982454]","[0, 1, 0]",0.45098039215686275,0
20190928-W-Beijing-R64-Jelena_Ostapenko-Karolina_Pliskova,1,1,1,0,0,0,"[0.4883720930232558, 0.5384615384615384, 0.4810126582278481]","[0, 1, 0]",0.5,0
20190928-W-Beijing-R64-Donna_Vekic-Kiki_Bertens,1,1,1,0,0,0,"[0.4406779661016949, 0.6666666666666666, 0.5232558139534884]","[0, 1, 1]",0.531578947368421,1
20190926-W-Wuhan-QF-Elina_Svitolina-Alison_Riske,1,1,1,0,0,0,"[0.603448275862069, 0.5454545454545454]","[1, 1]",0.5725806451612904,1
20190926-W-Wuhan-QF-Dayana_Yastremska-Petra_Kvitova,1,0,1,0,0,0,"[0.5909090909090909, 0.5254237288135594]","[1, 1]",0.5533980582524272,1
20190926-W-Wuhan-QF-Ashleigh_Barty-Petra_Martic,1,1,1,0,0,0,"[0.45555555555555555, 0.625, 0.44776119402985076]","[0, 1, 0]",0.4926829268292683,0
20190925-W-Wuhan-R16-Svetlana_Kuznetsova-Elina_Svitolina,1,1,1,0,0,0,"[0.5645161290322581, 0.6]","[1, 1]",0.5803571428571429,1
20190925-W-Wuhan-R16-Sloane_Stephens-Petra_Kvitova,1,0,1,0,0,0,"[0.5689655172413793, 0.5384615384615384]","[1, 1]",0.5545454545454546,1
20190925-W-Wuhan-R16-Ashleigh_Barty-Sofia_Kenin,1,1,1,0,0,0,"[0.4489795918367347, 0.4691358024691358]","[0, 0]",0.46153846153846156,0
20190924-W-Wuhan-R32-Karolina_Pliskova-Amanda_Anisimova,1,1,1,0,0,0,"[0.43137254901960786, 0.4492753623188406]","[0, 0]",0.44166666666666665,0
20190924-W-Wuhan-R32-Bernarda_Pera-Kiki_Bertens,0,1,1,0,0,0,"[0.41304347826086957, 0.5466666666666666, 0.5769230769230769]","[0, 1, 1]",0.5202312138728323,1
20190924-W-Tashkent-R32-Nigina_Abduraimova-Monica_Niculescu,1,1,1,0,0,0,"[0.7647058823529411, 0.524390243902439]","[1, 1]",0.5948275862068966,1
20190922-W-Seoul-F-Magda_Linette-Karolina_Muchova,1,1,1,0,0,0,"[0.6458333333333334, 0.6666666666666666]","[1, 1]",0.6559139784946236,1
20190921-W-Seoul-SF-Karolina_Muchova-Yafan_Wang,1,1,1,0,0,0,"[0.46153846153846156, 0.45714285714285713]","[0, 0]",0.4594594594594595,0
20190919-W-Seoul-R16-Patricia_Maria_Tig-Paula_Badosa,1,1,1,0,0,0,"[0.5394736842105263, 0.6444444444444445]","[1, 1]",0.5785123966942148,1
20190919-W-Osaka-R16-Anastasia_Pavlyuchenkova-Kiki_Bertens,1,1,1,0,0,0,"[0.34782608695652173, 0.46511627906976744]","[0, 0]",0.42424242424242425,0
20190918-W-Guangzhou-R32-Laura_Siegemund-Sofia_Kenin,1,1,1,0,0,0,"[0.532258064516129, 0.5862068965517241]","[1, 1]",0.5583333333333333,1
20190918-W-Guangzhou-R16-Marie_Bouzkova-Elina_Svitolina,1,1,1,0,0,0,"[0.4383561643835616, 0.42857142857142855]","[0, 1]",0.43478260869565216,1
20190917-W-Guangzhou-R32-Andrea_Petkovic-Lesley_Kerkhove,1,1,1,0,0,0,"[0.44871794871794873, 0.5148514851485149, 0.41509433962264153]","[0, 1, 0]",0.4698275862068966,0
20190913-W-Zhengzhou-R16-Kiki_Bertens-Ajla_Tomljanovic,1,1,1,0,0,0,"[0.5303030303030303, 0.5408163265306123]","[1, 1]",0.5365853658536586,1
20190911-W-Zhengzhou-R16-Karolina_Pliskova-Polona_Hercog,1,1,1,0,0,0,"[0.4807692307692308, 0.47058823529411764]","[0, 0]",0.4744525547445255,0
